Sample,Engraft
LLNLC_6051_A10,6051
LLNLC_6051_A11,6051
LLNLC_6051_A12,6051
LLNLC_6051_B10,6051
LLNLC_6051_B11,6051
LLNLC_6051_B12,6051
LLNLC_6051_C10,6051
LLNLC_6051_C12,6051
LLNLC_6051_D10,6051
LLNLC_6051_D11,6051
LLNLC_6051_D12,6051
LLNLC_6051_E10,6051
LLNLC_6051_E11,6051
LLNLC_6051_E12,6051
LLNLC_6051_F10,6051
LLNLC_6051_F11,6051
LLNLC_6051_F12,6051
LLNLC_6051_G10,6051
LLNLC_6051_G11,6051
LLNLC_6051_H10,6051
LLNLC_6051_H11,6051
LLNLC_6051_H12,6051
Potting_soilA_168_A1,168
Potting_soilA_168_A10,168
Potting_soilA_168_A11,168
Potting_soilA_168_A12,168
Potting_soilA_168_A2,168
Potting_soilA_168_A7,168
Potting_soilA_168_A8,168
Potting_soilA_168_A9,168
Potting_soilA_168_B1,168
Potting_soilA_168_B10,168
Potting_soilA_168_B11,168
Potting_soilA_168_B12,168
Potting_soilA_168_B2,168
Potting_soilA_168_B5,168
Potting_soilA_168_B7,168
Potting_soilA_168_B8,168
Potting_soilA_168_B9,168
Potting_soilA_168_C1,168
Potting_soilA_168_C10,168
Potting_soilA_168_C11,168
Potting_soilA_168_C12,168
Potting_soilA_168_C2,168
Potting_soilA_168_C5,168
Potting_soilA_168_C7,168
Potting_soilA_168_C8,168
Potting_soilA_168_C9,168
Potting_soilA_168_D1,168
Potting_soilA_168_D10,168
Potting_soilA_168_D11,168
Potting_soilA_168_D12,168
Potting_soilA_168_D2,168
Potting_soilA_168_D5,168
Potting_soilA_168_D7,168
Potting_soilA_168_D8,168
Potting_soilA_168_D9,168
Potting_soilA_168_E1,168
Potting_soilA_168_E10,168
Potting_soilA_168_E11,168
Potting_soilA_168_E12,168
Potting_soilA_168_E2,168
Potting_soilA_168_E5,168
Potting_soilA_168_E7,168
Potting_soilA_168_E8,168
Potting_soilA_168_F1,168
Potting_soilA_168_F10,168
Potting_soilA_168_F11,168
Potting_soilA_168_F2,168
Potting_soilA_168_F6,168
Potting_soilA_168_F7,168
Potting_soilA_168_F8,168
Potting_soilA_168_F9,168
Potting_soilA_168_G1,168
Potting_soilA_168_G10,168
Potting_soilA_168_G11,168
Potting_soilA_168_G12,168
Potting_soilA_168_G2,168
Potting_soilA_168_G7,168
Potting_soilA_168_G8,168
Potting_soilA_168_G9,168
Potting_soilA_168_H1,168
Potting_soilA_168_H10,168
Potting_soilA_168_H11,168
Potting_soilA_168_H12,168
Potting_soilA_168_H2,168
Potting_soilA_168_H7,168
Potting_soilA_168_H8,168
Potting_soilA_168_H9,168
Potting_soilA_6051_A1,6051
Potting_soilA_6051_A10,6051
Potting_soilA_6051_A11,6051
Potting_soilA_6051_A12,6051
Potting_soilA_6051_A2,6051
Potting_soilA_6051_A7,6051
Potting_soilA_6051_A8,6051
Potting_soilA_6051_A9,6051
Potting_soilA_6051_B1,6051
Potting_soilA_6051_B10,6051
Potting_soilA_6051_B11,6051
Potting_soilA_6051_B12,6051
Potting_soilA_6051_B2,6051
